Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-12-21,Hold You Tight,1998,https://boxd.it/86UuJZ,4,,,2008-01-19
2024-12-21,Animal Farm,1954,https://boxd.it/86UuK9,3,,,2008-01-19
2024-12-21,Made in Hong Kong,1997,https://boxd.it/86UuKj,4,,,2008-01-19
2024-12-21,A Clockwork Orange,1971,https://boxd.it/86UuKt,5,,,2008-01-19
2024-12-21,Trainspotting,1996,https://boxd.it/86UuLB,4,,,2008-01-19
2024-12-21,Pushing Hands,1991,https://boxd.it/86UuJF,4,,,2008-01-21
2024-12-21,In the Heat of the Sun,1994,https://boxd.it/86UuJP,5,,,2008-01-21
2024-12-21,Beijing Bicycle,2001,https://boxd.it/86UuJ1,4,,,2008-01-22
2024-12-21,Léon: The Professional,1994,https://boxd.it/86UuJb,3,,,2008-01-22
2024-12-21,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/86UuJl,5,,,2008-01-22
2024-12-21,2001: A Space Odyssey,1968,https://boxd.it/86UuJv,5,,,2008-01-22
2024-12-21,Chinese In Paris,1974,https://boxd.it/86UuIR,3,,,2008-01-23
2024-12-21,Swimming Pool,2003,https://boxd.it/86UuIH,4,,,2008-01-25
2024-12-21,Devils on the Doorstep,2000,https://boxd.it/86UuIx,5,,,2008-01-28
2024-12-21,Dead Poets Society,1989,https://boxd.it/86UuI3,4,,,2008-01-29
2024-12-21,Amadeus,1984,https://boxd.it/86UuId,4,,,2008-01-29
2024-12-21,The Emperor and the Assassin,1998,https://boxd.it/86UuIn,4,,,2008-01-29
2024-12-21,Eyes Wide Shut,1999,https://boxd.it/86UuHT,5,,,2008-01-31
2024-12-21,In the Name of the Father,1993,https://boxd.it/86UuHJ,5,,,2008-02-15
2024-12-21,24 City,2008,https://boxd.it/86UuHz,4,,,2008-07-03
2024-12-21,Adoration ou la transsubstantiation,1987,https://boxd.it/86UuHf,3,,,2008-07-05
2024-12-21,Stranger Than Paradise,1984,https://boxd.it/86UuHp,4,,,2008-07-05
2024-12-21,Fight Club,1999,https://boxd.it/86UuH5,4,,,2008-07-08
2024-12-21,Cinema Paradiso,1988,https://boxd.it/86UuGL,4,,,2008-07-11
2024-12-21,Pickpocket,1997,https://boxd.it/86UuGV,3,,,2008-07-11
2024-12-21,The Sun Also Rises,2007,https://boxd.it/86UuEP,5,,,2008-07-23
2024-12-21,21 Grams,2003,https://boxd.it/86UuGB,4,,,2008-07-23
2024-12-21,A Brighter Summer Day,1991,https://boxd.it/86UuEF,4,,,2008-07-26
2024-12-21,Running on Karma,2003,https://boxd.it/86UuEv,4,,,2008-08-21
2024-12-21,Mulholland Drive,2001,https://boxd.it/86UuEl,5,,,2008-09-30
2024-12-21,Enron: The Smartest Guys in the Room,2005,https://boxd.it/86UuEb,4,,,2008-10-02
2024-12-21,Juno,2007,https://boxd.it/86UuDR,4,,,2009-01-09
2024-12-21,The Shining,1980,https://boxd.it/86UuE1,4,,,2009-01-09
2024-12-21,Beijing Bubbles,2006,https://boxd.it/86UuDn,3,,,2009-01-12
2024-12-21,Inland Empire,2006,https://boxd.it/86UuDx,4,,,2009-01-12
